,Title,Company,Location,Salary,Summary
1760,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1761,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1762,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1763,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1764,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1765,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1766,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1767,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1768,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1769,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1770,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1771,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1772,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1773,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1774,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1775,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1776,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1777,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1778,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1779,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1780,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1781,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1782,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1783,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1784,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1785,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1786,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1787,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1788,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1789,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1790,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1791,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1792,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1793,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1794,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1795,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1796,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1797,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1798,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1799,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1800,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1801,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1802,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1803,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1804,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1805,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1806,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1807,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1808,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1809,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1810,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1811,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1812,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1813,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1814,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1815,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1816,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1817,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1818,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1819,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1820,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1821,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1822,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1823,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1824,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1825,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1826,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1827,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1828,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1829,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1830,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1831,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1832,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1833,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1834,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1835,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1836,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1837,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1838,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1839,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1840,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1841,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1842,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1843,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1844,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1845,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1846,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1847,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1848,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1849,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1850,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1851,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1852,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1853,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1854,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1855,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1856,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1857,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1858,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1859,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1860,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1861,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1862,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1863,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1864,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1865,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1866,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1867,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1868,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1869,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1870,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1871,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1872,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1873,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1874,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
1875,Software Engineer (Python/Java/BigData/Cloud),Providence Partners and Associates,"Austin, TX 78759 (Arboretum area)","$95,000 - $115,000 a year","
We are looking for a collaborative, self-starting, hungry Software Engineer to join our team of engineers, data scientists, and designers to deliver the next..."
1876,Senior Systems Administrator - Project Specific Linux and Solaris Systems Administrator,University of Texas at Austin,"Austin, TX","$5,500 - $7,500 a month","
Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and..."
